Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Challenge,Closeness,Curiosity,Excitement,Harmony,Ideal,Liberty,Love,Practicality,Self-expression,Stability,Structure,Conservation,Openness to change,Hedonism,Self-enhancement,Self-transcendence
0.9266622702157881,0.9037429250503308,0.2823628079282753,0.23601689911783474,0.9194444000604443,0.03809208239958739,0.11747924879532462,0.15568827407584784,0.005952162206336542,0.04305592208665526,0.058614235136032644,0.010064628714145318,0.041462097851009905,0.012769984267924861,0.001221988665583984,0.19879585303404285,0.9054111879782862,0.15526052091238052,0.0298950692149218,0.0643282941248991,0.008564971889873874,0.1861370166243987
0.9943764627193379,0.8901054835730415,0.5842544140335729,0.4194108819811684,0.8097909582433311,0.0014355069068653359,0.31316927326838206,0.08067770136975216,0.00039050753196395727,0.10714904339353754,0.0053571415322026805,0.0006087844661027408,0.06290250194099956,0.006917183681815486,0.0021866142254355347,0.1275669367415348,0.829427170345675,0.056240219146291515,0.03904934308936486,0.11600896464075044,0.022019585405711806,0.08341333319600047
0.9692116056243116,0.9180508676516927,0.4954395865198754,0.7177483297559604,0.8970075458097991,0.012808185314879483,0.32996280364868175,0.07215471200662987,0.0016436301219707183,0.17091625465348992,0.028115719941050443,0.003495741614131631,0.11727276344015308,0.01752921068498481,0.004752037401574372,0.6109878514882985,0.9222775413997459,0.3194468806895554,0.008259507419875467,0.08318904631029711,0.0011909007930728244,0.1347550977394678
0.9705975259701858,0.7400534736450872,0.8439825419527915,0.3582482223723499,0.8033269257379105,0.14303699981659956,0.21299717044676775,0.753119156070789,0.182046720181695,0.1369213109405258,0.21302647253902218,0.21196378291146578,0.352235390363522,0.1752314031290385,0.20924265175390966,0.29532180846604106,0.682102011437968,0.008599600059252754,0.6618221916223932,0.2907438593965037,0.22780563806397547,0.39123446738799816
0.9994738085083852,0.8905018922403237,0.9035112008386503,0.2252465929768988,0.8658977977543302,0.010286813448509013,0.27473177614063604,0.4442500320029237,0.0022577778303560225,0.2001409185330626,0.07291402151338883,0.0037849518754429767,0.13855897711480558,0.004077873431809376,0.011679234644802639,0.20828573190172955,0.8299354309322904,0.028986498509504965,0.08992149496891633,0.11233205354080233,0.0717137514835608,0.122598245567274
0.9653338882618362,0.7440108032554205,0.5985622270464047,0.4342151021637487,0.8085176029094971,0.01473167873574227,0.13424364950466539,0.2686344611328041,0.011066514216188816,0.07419568160235979,0.04839280144646596,0.012026261197380483,0.048928837209381126,0.007865591504033265,0.006581320513337263,0.1732677782246534,0.7411402879033195,0.023028550308795304,0.17841252796111268,0.16119717365782982,0.020334834309917782,0.3155800001488517
0.9956430170203305,0.9199522204719035,0.9473061245003512,0.12656945869679798,0.9532716513391684,0.01825783296791017,0.08380048141563978,0.21346371428537203,0.01667426494502816,0.04728957215675733,0.02491661343264656,0.018251540207212036,0.038191090829532925,0.01646893035526431,0.016419583170032892,0.1967070844851197,0.8563030627564776,0.017868869915384444,0.22639132973094817,0.1870497389154427,0.13048252147811612,0.17322970084442896
0.9909152510957238,0.6055747868845062,0.8614325683542852,0.01646905443987723,0.860961027099719,0.0043691161129154055,0.018834610227255244,0.1412216865784393,0.02357136304903007,0.007476733654882661,0.007873049869115967,0.011583099052273393,0.02631889392745257,0.04583941357343496,0.005857936387834772,0.010485553654154767,0.34782155691665273,0.00045808506221678424,0.20924058576963767,0.1784044407031472,0.058098722712773276,0.0928147524859873
0.9810053672139043,0.975922558895972,0.7452905351142594,0.6728977736493617,0.9808312191204254,0.0011643020706864071,0.38983312511429163,0.027444629901115458,0.001012277722056809,0.21558691732012197,0.007293758586943921,0.0020488333772256118,0.11202340012756046,0.006912104046672252,0.0010541365755561416,0.4364811753436857,0.9399457530429414,0.19341782506643046,0.018113178757338033,0.06990681388967479,0.0004574698000418542,0.12585055332283723
0.9915640469897125,0.7894879865479341,0.5838075623164664,0.153740584438452,0.8252208865526613,0.005167111708445582,0.1477079926690389,0.3769920387138407,0.010927321125028089,0.10794430071213174,0.01660155208150188,0.012904982718475844,0.018097284768312516,0.030003258316713077,0.04967102714427196,0.20397921445399902,0.5706206320784862,0.014494670783525676,0.2382116360267904,0.11822820080472934,0.041599934380205705,0.20945797849964448
